Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Last_Week	Deaths_Last_Week	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-146	2020-01-28	1	0	1	0	0	0	7	0	7	0	0	0
-145	2020-01-29	1	0	0	0	0	0	7	0	0	0	0	0
-144	2020-01-30	1	0	0	0	0	0	7	0	0	0	0	0
-143	2020-01-31	1	0	0	0	0	0	7	0	0	0	0	0
-142	2020-02-01	1	0	0	0	0	0	7	0	0	0	0	0
-141	2020-02-02	1	0	0	0	0	0	7	0	0	0	0	0
-140	2020-02-03	1	0	0	0	0	0	7	0	0	0	0	0
-139	2020-02-04	1	0	0	0	0	0	7	0	0	0	0	0
-138	2020-02-05	1	0	0	0	0	0	7	0	0	0	0	0
-137	2020-02-06	1	0	0	0	0	0	7	0	0	0	0	0
-136	2020-02-07	1	0	0	0	0	0	7	0	0	0	0	0
-135	2020-02-08	1	0	0	0	0	0	7	0	0	0	0	0
-134	2020-02-09	1	0	0	0	0	0	7	0	0	0	0	0
-133	2020-02-10	1	0	0	0	0	0	7	0	0	0	0	0
-132	2020-02-11	2	0	1	0	1	0	15	0	7	0	7	0
-131	2020-02-12	2	0	0	0	1	0	15	0	0	0	7	0
-130	2020-02-13	2	0	0	0	1	0	15	0	0	0	7	0
-129	2020-02-14	2	0	0	0	1	0	15	0	0	0	7	0
-128	2020-02-15	2	0	0	0	1	0	15	0	0	0	7	0
-127	2020-02-16	2	0	0	0	1	0	15	0	0	0	7	0
-126	2020-02-17	2	0	0	0	1	0	15	0	0	0	7	0
-125	2020-02-18	2	0	0	0	0	0	15	0	0	0	0	0
-124	2020-02-19	2	0	0	0	0	0	15	0	0	0	0	0
-123	2020-02-20	2	0	0	0	0	0	15	0	0	0	0	0
-122	2020-02-21	2	0	0	0	0	0	15	0	0	0	0	0
-121	2020-02-22	2	0	0	0	0	0	15	0	0	0	0	0
-120	2020-02-23	2	0	0	0	0	0	15	0	0	0	0	0
-119	2020-02-24	2	0	0	0	0	0	15	0	0	0	0	0
-118	2020-02-25	2	0	0	0	0	0	15	0	0	0	0	0
-117	2020-02-26	2	0	0	0	0	0	15	0	0	0	0	0
-116	2020-02-27	2	0	0	0	0	0	15	0	0	0	0	0
-115	2020-02-28	2	0	0	0	0	0	15	0	0	0	0	0
-114	2020-02-29	2	0	0	0	0	0	15	0	0	0	0	0
-113	2020-03-01	3	0	1	0	1	0	22	0	7	0	7	0
-112	2020-03-02	3	0	0	0	1	0	22	0	0	0	7	0
-111	2020-03-03	3	0	0	0	1	0	22	0	0	0	7	0
-110	2020-03-04	3	0	0	0	1	0	22	0	0	0	7	0
-109	2020-03-05	4	0	1	0	2	0	29	0	7	0	15	0
-108	2020-03-06	6	0	2	0	4	0	44	0	15	0	29	0
-107	2020-03-07	10	0	4	0	8	0	73	0	29	0	59	0
-106	2020-03-08	11	0	1	0	8	0	81	0	7	0	59	0
-105	2020-03-09	11	0	0	0	8	0	81	0	0	0	59	0
-104	2020-03-10	17	0	6	0	14	0	125	0	44	0	103	0
-103	2020-03-11	21	0	4	0	18	0	154	0	29	0	132	0
-102	2020-03-12	33	0	12	0	29	0	242	0	88	0	213	0
-101	2020-03-13	38	0	5	0	32	0	279	0	37	0	235	0
-100	2020-03-14	46	0	8	0	36	0	338	0	59	0	265	0
-99	2020-03-15	47	0	1	0	36	0	345	0	7	0	265	0
-98	2020-03-16	51	0	4	0	40	0	375	0	29	0	294	0
-97	2020-03-17	59	1	8	1	42	1	434	7	59	7	309	7
-96	2020-03-18	70	1	11	0	49	1	514	7	81	0	360	7
-95	2020-03-19	86	1	16	0	53	1	632	7	118	0	389	7
-94	2020-03-20	103	1	17	0	65	1	757	7	125	0	478	7
-93	2020-03-21	116	2	13	1	70	2	852	15	96	7	514	15
-92	2020-03-22	129	3	13	1	82	3	948	22	96	7	603	22
-91	2020-03-23	142	3	13	0	91	3	1043	22	96	0	669	22
-90	2020-03-24	176	3	34	0	117	2	1293	22	250	0	860	15
-89	2020-03-25	212	3	36	0	142	2	1558	22	265	0	1043	15
-88	2020-03-26	234	3	22	0	148	2	1719	22	162	0	1087	15
-87	2020-03-27	244	3	10	0	141	2	1793	22	73	0	1036	15
-86	2020-03-28	264	3	20	0	148	1	1940	22	147	0	1087	7
-85	2020-03-29	273	3	9	0	144	0	2006	22	66	0	1058	0
-84	2020-03-30	295	3	22	0	153	0	2168	22	162	0	1124	0
-83	2020-03-31	324	4	29	1	148	1	2381	29	213	7	1087	7
-82	2020-04-01	342	6	18	2	130	3	2513	44	132	15	955	22
-81	2020-04-02	365	7	23	1	131	4	2682	51	169	7	963	29
-80	2020-04-03	382	7	17	0	138	4	2807	51	125	0	1014	29
-79	2020-04-04	391	7	9	0	127	4	2873	51	66	0	933	29
-78	2020-04-05	392	7	1	0	119	4	2880	51	7	0	874	29
-77	2020-04-06	403	7	11	0	108	4	2961	51	81	0	794	29
-76	2020-04-07	412	8	9	1	88	4	3027	59	66	7	647	29
-75	2020-04-08	418	8	6	0	76	2	3071	59	44	0	558	15
-74	2020-04-09	439	9	21	1	74	2	3226	66	154	7	544	15
-73	2020-04-10	444	9	5	0	62	2	3262	66	37	0	456	15
-72	2020-04-11	450	11	6	2	59	4	3307	81	44	15	434	29
-71	2020-04-12	452	11	2	0	60	4	3321	81	15	0	441	29
-70	2020-04-13	452	11	0	0	49	4	3321	81	0	0	360	29
-69	2020-04-14	462	11	10	0	50	3	3395	81	73	0	367	22
-68	2020-04-15	470	11	8	0	52	3	3454	81	59	0	382	22
-67	2020-04-16	474	11	4	0	35	2	3483	81	29	0	257	15
-66	2020-04-17	481	11	7	0	37	2	3534	81	51	0	272	15
-65	2020-04-18	484	11	3	0	34	0	3556	81	22	0	250	0
-64	2020-04-19	485	11	1	0	33	0	3564	81	7	0	242	0
-63	2020-04-20	486	11	1	0	34	0	3571	81	7	0	250	0
-62	2020-04-21	489	11	3	0	27	0	3593	81	22	0	198	0
-61	2020-04-22	491	11	2	0	21	0	3608	81	15	0	154	0
-60	2020-04-23	491	11	0	0	17	0	3608	81	0	0	125	0
-59	2020-04-24	496	12	5	1	15	1	3645	88	37	7	110	7
-58	2020-04-25	499	12	3	0	15	1	3667	88	22	0	110	7
-57	2020-04-26	499	12	0	0	14	1	3667	88	0	0	103	7
-56	2020-04-27	499	12	0	0	13	1	3667	88	0	0	96	7
-55	2020-04-28	500	12	1	0	11	1	3674	88	7	0	81	7
-54	2020-04-29	502	12	2	0	11	1	3689	88	15	0	81	7
-53	2020-04-30	504	12	2	0	13	1	3703	88	15	0	96	7
-52	2020-05-01	504	12	0	0	8	0	3703	88	0	0	59	0
-51	2020-05-02	505	12	1	0	6	0	3711	88	7	0	44	0
-50	2020-05-03	505	12	0	0	6	0	3711	88	0	0	44	0
-49	2020-05-04	505	12	0	0	6	0	3711	88	0	0	44	0
-48	2020-05-05	507	12	2	0	7	0	3725	88	15	0	51	0
