Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Last_Week	Deaths_Last_Week	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-147	2020-01-28	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-146	2020-01-29	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-145	2020-01-30	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-144	2020-01-31	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-143	2020-02-01	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-142	2020-02-02	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-141	2020-02-03	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-140	2020-02-04	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-139	2020-02-05	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-138	2020-02-06	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-137	2020-02-07	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-136	2020-02-08	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-135	2020-02-09	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-134	2020-02-10	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-133	2020-02-11	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-132	2020-02-12	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-131	2020-02-13	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-130	2020-02-14	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-129	2020-02-15	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-128	2020-02-16	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-127	2020-02-17	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-126	2020-02-18	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-125	2020-02-19	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-124	2020-02-20	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-123	2020-02-21	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-122	2020-02-22	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-121	2020-02-23	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-120	2020-02-24	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-119	2020-02-25	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-118	2020-02-26	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-117	2020-02-27	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-116	2020-02-28	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-115	2020-02-29	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-114	2020-03-01	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-113	2020-03-02	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-112	2020-03-03	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-111	2020-03-04	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-110	2020-03-05	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-109	2020-03-06	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-108	2020-03-07	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-107	2020-03-08	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-106	2020-03-09	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-105	2020-03-10	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-104	2020-03-11	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-103	2020-03-12	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-102	2020-03-13	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-101	2020-03-14	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-100	2020-03-15	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-99	2020-03-16	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-98	2020-03-17	10	0	10	0	10	0	56	0	56	0.0	56	0.0
-97	2020-03-18	13	0	3	0	13	0	72	0	16	0.0	72	0.0
-96	2020-03-19	23	0	10	0	23	0	129	0	56	0.0	129	0.0
-95	2020-03-20	32	0	9	0	32	0	179	0	50	0.0	179	0.0
-94	2020-03-21	32	0	0	0	32	0	179	0	0	0.0	179	0.0
-93	2020-03-22	32	0	0	0	32	0	179	0	0	0.0	179	0.0
-92	2020-03-23	41	0	9	0	41	0	230	0	50	0.0	230	0.0
-91	2020-03-24	48	0	7	0	38	0	269	0	39	0.0	213	0.0
-90	2020-03-25	58	2	10	2	45	2	325	11	56	11.23	252	11.23
-89	2020-03-26	64	2	6	0	41	2	359	11	33	0.0	230	11.23
-88	2020-03-27	80	5	16	3	48	5	449	28	89	16.846	269	28.08
-87	2020-03-28	80	5	0	0	48	5	449	28	0	0.0	269	28.08
-86	2020-03-29	80	5	0	0	48	5	449	28	0	0.0	269	28.08
-85	2020-03-30	113	10	33	5	72	10	634	56	185	28.076	404	56.15
-84	2020-03-31	131	11	18	1	83	11	735	61	101	5.615	466	61.77
-83	2020-04-01	149	15	18	4	91	13	836	84	101	22.461	510	73.0
-82	2020-04-02	170	17	21	2	106	15	954	95	117	11.23	595	84.23
-81	2020-04-03	210	27	40	10	130	22	1179	151	224	56.152	729	123.53
-80	2020-04-04	210	27	0	0	130	22	1179	151	0	0.0	729	123.53
-79	2020-04-05	210	27	0	0	130	22	1179	151	0	0.0	729	123.53
-78	2020-04-06	240	28	30	1	127	18	1347	157	168	5.615	713	101.07
-77	2020-04-07	275	31	35	3	144	20	1544	174	196	16.846	808	112.3
-76	2020-04-08	338	31	63	0	189	16	1897	174	353	0.0	1061	89.84
-75	2020-04-09	347	32	9	1	177	15	1948	179	50	5.615	993	84.23
-74	2020-04-10	396	34	49	2	186	7	2223	190	275	11.23	1044	39.31
-73	2020-04-11	418	36	22	2	208	9	2347	202	123	11.23	1167	50.54
-72	2020-04-12	433	39	15	3	223	12	2431	218	84	16.846	1252	67.38
-71	2020-04-13	433	39	0	0	193	11	2431	218	0	0.0	1083	61.77
-70	2020-04-14	435	39	2	0	160	8	2442	218	11	0.0	898	44.92
-69	2020-04-15	459	42	24	3	121	11	2577	235	134	16.846	679	61.77
-68	2020-04-16	477	45	18	3	130	13	2678	252	101	16.846	729	73.0
-67	2020-04-17	518	45	41	0	122	11	2908	252	230	0.0	685	61.77
-66	2020-04-18	518	45	0	0	100	9	2908	252	0	0.0	561	50.54
-65	2020-04-19	518	45	0	0	85	6	2908	252	0	0.0	477	33.69
-64	2020-04-20	529	48	11	3	96	9	2970	269	61	16.846	539	50.54
-63	2020-04-21	533	49	4	1	98	10	2992	275	22	5.615	550	56.15
-62	2020-04-22	538	49	5	0	79	7	3020	275	28	0.0	443	39.31
-61	2020-04-23	548	50	10	1	71	5	3077	280	56	5.615	398	28.08
-60	2020-04-24	569	50	21	0	51	5	3195	280	117	0.0	286	28.08
-59	2020-04-25	569	50	0	0	51	5	3195	280	0	0.0	286	28.08
-58	2020-04-26	570	50	1	0	52	5	3200	280	5	0.0	291	28.08
-57	2020-04-27	573	50	3	0	44	2	3217	280	16	0.0	247	11.23
-56	2020-04-28	583	50	10	0	50	1	3273	280	56	0.0	280	5.62
-55	2020-04-29	585	50	2	0	47	1	3284	280	11	0.0	263	5.62
-54	2020-04-30	591	50	6	0	43	0	3318	280	33	0.0	241	0.0
-53	2020-05-01	595	50	4	0	26	0	3341	280	22	0.0	145	0.0
-52	2020-05-02	598	50	3	0	29	0	3357	280	16	0.0	162	0.0
-51	2020-05-03	598	50	0	0	28	0	3357	280	0	0.0	157	0.0
-50	2020-05-04	601	51	3	1	28	1	3374	286	16	5.615	157	5.62
-49	2020-05-05	606	51	5	0	23	1	3402	286	28	0.0	129	5.62
-48	2020-05-06	610	51	4	0	25	1	3425	286	22	0.0	140	5.62
-47	2020-05-07	612	51	2	0	21	1	3436	286	11	0.0	117	5.62
-46	2020-05-08	613	51	1	0	18	1	3442	286	5	0.0	101	5.62
-45	2020-05-09	613	51	0	0	15	1	3442	286	0	0.0	84	5.62
-44	2020-05-10	613	51	0	0	15	1	3442	286	0	0.0	84	5.62
-43	2020-05-11	614	51	1	0	13	0	3447	286	5	0.0	72	0.0
-42	2020-05-12	614	51	0	0	8	0	3447	286	0	0.0	44	0.0
-41	2020-05-13	614	51	0	0	4	0	3447	286	0	0.0	22	0.0
