Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Last_Week	Deaths_Last_Week	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-146	2020-01-28	0	0	0	0	0	0	0	0	0	0	0	0
-145	2020-01-29	0	0	0	0	0	0	0	0	0	0	0	0
-144	2020-01-30	0	0	0	0	0	0	0	0	0	0	0	0
-143	2020-01-31	0	0	0	0	0	0	0	0	0	0	0	0
-142	2020-02-01	0	0	0	0	0	0	0	0	0	0	0	0
-141	2020-02-02	0	0	0	0	0	0	0	0	0	0	0	0
-140	2020-02-03	0	0	0	0	0	0	0	0	0	0	0	0
-139	2020-02-04	0	0	0	0	0	0	0	0	0	0	0	0
-138	2020-02-05	0	0	0	0	0	0	0	0	0	0	0	0
-137	2020-02-06	0	0	0	0	0	0	0	0	0	0	0	0
-136	2020-02-07	0	0	0	0	0	0	0	0	0	0	0	0
-135	2020-02-08	0	0	0	0	0	0	0	0	0	0	0	0
-134	2020-02-09	0	0	0	0	0	0	0	0	0	0	0	0
-133	2020-02-10	0	0	0	0	0	0	0	0	0	0	0	0
-132	2020-02-11	0	0	0	0	0	0	0	0	0	0	0	0
-131	2020-02-12	0	0	0	0	0	0	0	0	0	0	0	0
-130	2020-02-13	0	0	0	0	0	0	0	0	0	0	0	0
-129	2020-02-14	0	0	0	0	0	0	0	0	0	0	0	0
-128	2020-02-15	0	0	0	0	0	0	0	0	0	0	0	0
-127	2020-02-16	0	0	0	0	0	0	0	0	0	0	0	0
-126	2020-02-17	0	0	0	0	0	0	0	0	0	0	0	0
-125	2020-02-18	0	0	0	0	0	0	0	0	0	0	0	0
-124	2020-02-19	0	0	0	0	0	0	0	0	0	0	0	0
-123	2020-02-20	0	0	0	0	0	0	0	0	0	0	0	0
-122	2020-02-21	0	0	0	0	0	0	0	0	0	0	0	0
-121	2020-02-22	0	0	0	0	0	0	0	0	0	0	0	0
-120	2020-02-23	0	0	0	0	0	0	0	0	0	0	0	0
-119	2020-02-24	0	0	0	0	0	0	0	0	0	0	0	0
-118	2020-02-25	0	0	0	0	0	0	0	0	0	0	0	0
-117	2020-02-26	0	0	0	0	0	0	0	0	0	0	0	0
-116	2020-02-27	0	0	0	0	0	0	0	0	0	0	0	0
-115	2020-02-28	0	0	0	0	0	0	0	0	0	0	0	0
-114	2020-02-29	0	0	0	0	0	0	0	0	0	0	0	0
-113	2020-03-01	0	0	0	0	0	0	0	0	0	0	0	0
-112	2020-03-02	0	0	0	0	0	0	0	0	0	0	0	0
-111	2020-03-03	0	0	0	0	0	0	0	0	0	0	0	0
-110	2020-03-04	0	0	0	0	0	0	0	0	0	0	0	0
-109	2020-03-05	0	0	0	0	0	0	0	0	0	0	0	0
-108	2020-03-06	0	0	0	0	0	0	0	0	0	0	0	0
-107	2020-03-07	0	0	0	0	0	0	0	0	0	0	0	0
-106	2020-03-08	0	0	0	0	0	0	0	0	0	0	0	0
-105	2020-03-09	0	0	0	0	0	0	0	0	0	0	0	0
-104	2020-03-10	1	0	1	0	1	0	4	0	4	0	4	0
-103	2020-03-11	6	0	5	0	6	0	23	0	19	0	23	0
-102	2020-03-12	15	0	9	0	15	0	58	0	35	0	58	0
-101	2020-03-13	19	0	4	0	19	0	73	0	15	0	73	0
-100	2020-03-14	27	0	8	0	27	0	104	0	31	0	104	0
-99	2020-03-15	32	0	5	0	32	0	123	0	19	0	123	0
-98	2020-03-16	38	0	6	0	38	0	146	0	23	0	146	0
-97	2020-03-17	56	0	18	0	55	0	215	0	69	0	211	0
-96	2020-03-18	62	0	6	0	56	0	238	0	23	0	215	0
-95	2020-03-19	94	0	32	0	79	0	361	0	123	0	303	0
-94	2020-03-20	105	0	11	0	86	0	403	0	42	0	330	0
-93	2020-03-21	110	0	5	0	83	0	422	0	19	0	319	0
-92	2020-03-22	125	0	15	0	93	0	480	0	58	0	357	0
-91	2020-03-23	141	0	16	0	103	0	541	0	61	0	395	0
-90	2020-03-24	154	0	13	0	98	0	591	0	50	0	376	0
-89	2020-03-25	175	0	21	0	113	0	672	0	81	0	434	0
-88	2020-03-26	199	1	24	1	105	1	764	4	92	4	403	4
-87	2020-03-27	216	2	17	1	111	2	829	8	65	4	426	8
-86	2020-03-28	232	2	16	0	122	2	891	8	61	0	468	8
-85	2020-03-29	246	2	14	0	121	2	944	8	54	0	465	8
-84	2020-03-30	256	2	10	0	115	2	983	8	38	0	442	8
-83	2020-03-31	290	4	34	2	136	4	1113	15	131	8	522	15
-82	2020-04-01	317	4	27	0	142	4	1217	15	104	0	545	15
-81	2020-04-02	348	5	31	1	149	4	1336	19	119	4	572	15
-80	2020-04-03	367	6	19	1	151	4	1409	23	73	4	580	15
-79	2020-04-04	388	6	21	0	156	4	1490	23	81	0	599	15
-78	2020-04-05	399	6	11	0	153	4	1532	23	42	0	587	15
-77	2020-04-06	405	8	6	2	149	6	1555	31	23	8	572	23
-76	2020-04-07	424	10	19	2	134	6	1628	38	73	8	514	23
-75	2020-04-08	440	10	16	0	123	6	1689	38	61	0	472	23
-74	2020-04-09	476	13	36	3	128	8	1827	50	138	12	491	31
