Date	Landkreise mit Neu-Infektionen in 7 Tagen
2020-01-28	0
2020-01-29	0
2020-01-30	0
2020-01-31	0
2020-02-01	0
2020-02-02	0
2020-02-03	0
2020-02-04	6
2020-02-05	6
2020-02-06	6
2020-02-07	6
2020-02-08	6
2020-02-09	6
2020-02-10	5
2020-02-11	4
2020-02-12	6
2020-02-13	5
2020-02-14	4
2020-02-15	4
2020-02-16	4
2020-02-17	4
2020-02-18	2
2020-02-19	0
2020-02-20	1
2020-02-21	1
2020-02-22	1
2020-02-23	1
2020-02-24	2
2020-02-25	4
2020-02-26	8
2020-02-27	11
2020-02-28	25
2020-02-29	29
2020-03-01	41
2020-03-02	53
2020-03-03	75
2020-03-04	98
2020-03-05	122
2020-03-06	137
2020-03-07	155
2020-03-08	165
2020-03-09	201
2020-03-10	252
2020-03-11	299
2020-03-12	342
2020-03-13	364
2020-03-14	374
2020-03-15	383
2020-03-16	393
2020-03-17	400
2020-03-18	405
2020-03-19	408
2020-03-20	410
2020-03-21	411
2020-03-22	411
2020-03-23	411
2020-03-24	411
2020-03-25	411
2020-03-26	411
2020-03-27	410
2020-03-28	410
2020-03-29	410
2020-03-30	411
2020-03-31	412
2020-04-01	412
2020-04-02	411
2020-04-03	412
2020-04-04	412
2020-04-05	412
2020-04-06	412
2020-04-07	412
2020-04-08	412
2020-04-09	412
2020-04-10	411
2020-04-11	412
2020-04-12	412
2020-04-13	409
2020-04-14	408
2020-04-15	409
2020-04-16	409
2020-04-17	406
2020-04-18	405
2020-04-19	403
2020-04-20	404
2020-04-21	405
2020-04-22	402
2020-04-23	403
2020-04-24	400
2020-04-25	404
2020-04-26	403
2020-04-27	401
2020-04-28	398
2020-04-29	395
2020-04-30	396
2020-05-01	394
2020-05-02	394
2020-05-03	393
2020-05-04	393
2020-05-05	391
2020-05-06	386
2020-05-07	381
2020-05-08	377
2020-05-09	372
2020-05-10	373
2020-05-11	372
2020-05-12	361
2020-05-13	363
2020-05-14	367
2020-05-15	366
2020-05-16	360
2020-05-17	362
2020-05-18	358
2020-05-19	358
2020-05-20	353
2020-05-21	338
2020-05-22	336
2020-05-23	328
2020-05-24	329
2020-05-25	328
2020-05-26	321
2020-05-27	322
2020-05-28	328
2020-05-29	322
2020-05-30	327
2020-05-31	328
2020-06-01	321
2020-06-02	315
2020-06-03	304
2020-06-04	296
2020-06-05	296
2020-06-06	295
2020-06-07	298
2020-06-08	309
2020-06-09	303
2020-06-10	292
2020-06-11	284
2020-06-12	280
2020-06-13	279
2020-06-14	276
2020-06-15	275
2020-06-16	273
2020-06-17	281
2020-06-18	286
2020-06-19	283
2020-06-20	280
2020-06-21	283
2020-06-22	286
2020-06-23	285
2020-06-24	278
2020-06-25	279
2020-06-26	279
2020-06-27	280
2020-06-28	281
2020-06-29	284
2020-06-30	284
2020-07-01	283
2020-07-02	292
2020-07-03	299
2020-07-04	298
2020-07-05	301
2020-07-06	307
2020-07-07	293
2020-07-08	298
2020-07-09	295
2020-07-10	295
2020-07-11	296
2020-07-12	298
2020-07-13	302
2020-07-14	311
2020-07-15	316
2020-07-16	307
