Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Last_Week	Deaths_Last_Week	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	DIVI_Intensivstationen_Covid_Prozent	DIVI_Intensivstationen_Betten_belegt_Prozent
-154	2020-01-28	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-153	2020-01-29	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-152	2020-01-30	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-151	2020-01-31	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-150	2020-02-01	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-149	2020-02-02	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-148	2020-02-03	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-147	2020-02-04	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-146	2020-02-05	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-145	2020-02-06	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-144	2020-02-07	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-143	2020-02-08	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-142	2020-02-09	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-141	2020-02-10	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-140	2020-02-11	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-139	2020-02-12	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-138	2020-02-13	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-137	2020-02-14	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-136	2020-02-15	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-135	2020-02-16	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-134	2020-02-17	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-133	2020-02-18	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-132	2020-02-19	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-131	2020-02-20	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-130	2020-02-21	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-129	2020-02-22	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-128	2020-02-23	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-127	2020-02-24	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-126	2020-02-25	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-125	2020-02-26	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-124	2020-02-27	1	0	1	0	1	0	1	0	1	0.0	1	0.0		
-123	2020-02-28	2	0	1	0	2	0	3	0	1	0.0	3	0.0		
-122	2020-02-29	2	0	0	0	2	0	3	0	0	0.0	3	0.0		
-121	2020-03-01	2	0	0	0	2	0	3	0	0	0.0	3	0.0		
-120	2020-03-02	3	0	1	0	3	0	5	0	1	0.0	5	0.0		
-119	2020-03-03	3	0	0	0	3	0	5	0	0	0.0	5	0.0		
-118	2020-03-04	5	0	2	0	5	0	9	0	3	0.0	9	0.0		
-117	2020-03-05	7	0	2	0	6	0	12	0	3	0.0	11	0.0		
-116	2020-03-06	7	0	0	0	5	0	12	0	0	0.0	9	0.0		
-115	2020-03-07	10	0	3	0	8	0	18	0	5	0.0	14	0.0		
-114	2020-03-08	10	0	0	0	8	0	18	0	0	0.0	14	0.0		
-113	2020-03-09	13	0	3	0	10	0	23	0	5	0.0	18	0.0		
-112	2020-03-10	15	0	2	0	12	0	27	0	3	0.0	22	0.0		
-111	2020-03-11	23	0	8	0	18	0	42	0	14	0.0	33	0.0		
-110	2020-03-12	37	0	14	0	30	0	68	0	25	0.0	55	0.0		
-109	2020-03-13	56	0	19	0	49	0	102	0	34	0.0	90	0.0		
-108	2020-03-14	90	0	34	0	80	0	165	0	62	0.0	147	0.0		
-107	2020-03-15	92	0	2	0	82	0	169	0	3	0.0	150	0.0		
-106	2020-03-16	108	1	16	1	95	1	198	1	29	1.838	174	1.84		
-105	2020-03-17	139	3	31	2	124	3	255	5	56	3.677	227	5.51		
-104	2020-03-18	181	3	42	0	158	3	332	5	77	0.0	290	5.51		
-103	2020-03-19	212	3	31	0	175	3	389	5	56	0.0	321	5.51		
-102	2020-03-20	256	3	44	0	200	3	470	5	80	0.0	367	5.51		
-101	2020-03-21	283	4	27	1	193	4	520	7	49	1.838	354	7.35		
-100	2020-03-22	293	6	10	2	201	6	538	11	18	3.677	369	11.03		
-99	2020-03-23	357	6	64	0	249	5	656	11	117	0.0	457	9.19		
-98	2020-03-24	403	8	46	2	264	5	740	14	84	3.677	485	9.19		
-97	2020-03-25	468	13	65	5	287	10	860	23	119	9.191	527	18.38		
-96	2020-03-26	551	14	83	1	339	11	1012	25	152	1.838	623	20.22		
-95	2020-03-27	640	18	89	4	384	15	1176	33	163	7.353	705	27.57		
-94	2020-03-28	693	20	53	2	410	16	1273	36	97	3.677	753	29.41		
-93	2020-03-29	710	21	17	1	417	15	1305	38	31	1.838	766	27.57		
-92	2020-03-30	756	25	46	4	399	19	1389	45	84	7.353	733	34.93		
-91	2020-03-31	820	28	64	3	417	20	1507	51	117	5.515	766	36.77		
-90	2020-04-01	878	30	58	2	410	17	1614	55	106	3.677	753	31.25		
-89	2020-04-02	960	31	82	1	409	17	1764	56	150	1.838	751	31.25		
-88	2020-04-03	1045	37	85	6	405	19	1921	68	156	11.03	744	34.93		
-87	2020-04-04	1083	38	38	1	390	18	1990	69	69	1.838	716	33.09		
-86	2020-04-05	1094	38	11	0	384	17	2011	69	20	0.0	705	31.25		
-85	2020-04-06	1117	39	23	1	361	14	2053	71	42	1.838	663	25.74		
-84	2020-04-07	1179	41	62	2	359	13	2167	75	113	3.677	659	23.9		
-83	2020-04-08	1236	46	57	5	358	16	2272	84	104	9.191	658	29.41		
-82	2020-04-09	1286	47	50	1	326	16	2364	86	91	1.838	599	29.41		
-81	2020-04-10	1309	49	23	2	264	12	2406	90	42	3.677	485	22.06		
-80	2020-04-11	1343	49	34	0	260	11	2468	90	62	0.0	477	20.22		
-79	2020-04-12	1352	49	9	0	258	11	2485	90	16	0.0	474	20.22		
-78	2020-04-13	1358	51	6	2	241	12	2496	93	11	3.677	443	22.06		
-77	2020-04-14	1372	51	14	0	193	10	2522	93	25	0.0	354	18.38		
-76	2020-04-15	1390	53	18	2	154	7	2555	97	33	3.677	283	12.87		
-75	2020-04-16	1428	55	38	2	142	8	2625	101	69	3.677	261	14.71		
-74	2020-04-17	1440	57	12	2	131	8	2647	104	22	3.677	240	14.71		
-73	2020-04-18	1473	63	33	6	130	14	2707	115	60	11.03	238	25.74		
-72	2020-04-19	1482	64	9	1	130	15	2724	117	16	1.838	238	27.57		
-71	2020-04-20	1490	64	8	0	132	13	2739	117	14	0.0	242	23.9		
-70	2020-04-21	1500	67	10	3	128	16	2757	123	18	5.515	235	29.41		
-69	2020-04-22	1540	71	40	4	150	18	2830	130	73	7.353	275	33.09		
-68	2020-04-23	1582	72	42	1	154	17	2908	132	77	1.838	283	31.25		
-67	2020-04-24	1602	72	20	0	162	15	2944	132	36	0.0	297	27.57		
-66	2020-04-25	1614	72	12	0	141	9	2966	132	22	0.0	259	16.54		
-65	2020-04-26	1617	72	3	0	135	8	2972	132	5	0.0	248	14.71	11.7	48.3
-64	2020-04-27	1625	72	8	0	135	8	2987	132	14	0.0	248	14.71	11.7	48.1
-63	2020-04-28	1634	72	9	0	134	5	3003	132	16	0.0	246	9.19	11.5	41.8
-62	2020-04-29	1646	72	12	0	106	1	3025	132	22	0.0	194	1.84	12.7	42.0
-61	2020-04-30	1656	72	10	0	74	0	3044	132	18	0.0	136	0.0	11.4	41.1
-60	2020-05-01	1659	72	3	0	57	0	3049	132	5	0.0	104	0.0	12.0	41.1
