Date	betten_ges	betten_belegt	betten_belegt_proz	faelle_covid_aktuell	faelle_covid_aktuell_proz	faelle_covid_aktuell_beatmet	faelle_covid_aktuell_beatmet_proz
2020-07-10	38	32	84.2	0	0.0	0	0
2020-05-24	33	22	66.7	1	3.0	0	0.0
2020-07-12	39	27	69.2	0	0.0	0	0
2020-07-16	38	22	57.9	0	0.0	0	0
2020-06-17	34	24	70.6	1	2.9	0	0.0
2020-06-28	39	26	66.7	0	0.0	0	0
2020-06-18	39	30	76.9	1	2.6	0	0.0
2020-05-30	33	21	63.6	0	0.0	0	0
2020-04-27	37	23	62.2	5	13.5	4	80.0
2020-06-13	35	23	65.7	0	0.0	0	0
2020-06-11	35	24	68.6	0	0.0	0	0
2020-07-04	38	31	81.6	0	0.0	0	0
2020-07-13	38	24	63.2	0	0.0	0	0
2020-05-25	33	27	81.8	1	3.0	0	0.0
2020-06-22	0	0		0		0	0
2020-06-14	35	23	65.7	0	0.0	0	0
2020-05-11	34	24	70.6	3	8.8	2	66.7
2020-07-20	38	31	81.6	0	0.0	0	0
2020-05-21	33	25	75.8	1	3.0	0	0.0
2020-07-08	38	32	84.2	0	0.0	0	0
2020-06-07	35	26	74.3	0	0.0	0	0
2020-07-17	38	31	81.6	0	0.0	0	0
2020-07-19	37	32	86.5	0	0.0	0	0
2020-06-03	35	30	85.7	0	0.0	0	0
2020-06-02	33	21	63.6	0	0.0	0	0
2020-06-25	39	20	51.3	0	0.0	0	0
2020-05-06	38	29	76.3	3	7.9	3	100.0
2020-06-24	0	0		0		0	0
2020-07-09	37	34	91.9	0	0.0	0	0
2020-07-07	38	30	78.9	0	0.0	0	0
2020-05-22	33	26	78.8	1	3.0	0	0.0
2020-04-30	37	27	73.0	5	13.5	5	100.0
2020-05-14	33	27	81.8	0	0.0	0	0
2020-05-29	33	20	60.6	0	0.0	0	0
2020-05-12	34	28	82.4	2	5.9	2	100.0
2020-07-14	38	31	81.6	0	0.0	0	0
2020-05-07	38	28	73.7	2	5.3	2	100.0
2020-05-16	33	22	66.7	0	0.0	0	0
2020-05-31	33	22	66.7	0	0.0	0	0
2020-05-08	38	25	65.8	2	5.3	2	100.0
2020-06-08	35	28	80.0	0	0.0	0	0
2020-05-23	33	24	72.7	0	0.0	0	0
2020-05-28	33	27	81.8	0	0.0	0	0
2020-07-06	40	31	77.5	0	0.0	0	0
2020-07-15	38	31	81.6	0	0.0	0	0
2020-06-20	0	0		0		0	0
2020-06-29	39	27	69.2	0	0.0	0	0
2020-06-12	35	23	65.7	0	0.0	0	0
2020-04-28	37	23	62.2	5	13.5	5	100.0
2020-07-02	40	27	67.5	0	0.0	0	0
2020-06-21	0	0		0		0	0
2020-04-29	37	27	73.0	5	13.5	5	100.0
2020-06-30	39	28	71.8	0	0.0	0	0
2020-05-04	37	27	73.0	5	13.5	5	100.0
2020-05-17	33	24	72.7	1	3.0	0	0.0
2020-05-05	37	30	81.1	4	10.8	4	100.0
2020-05-18	33	23	69.7	1	3.0	0	0.0
2020-05-02	37	30	81.1	5	13.5	5	100.0
2020-06-16	35	26	74.3	1	2.9	0	0.0
2020-05-20	33	27	81.8	1	3.0	0	0.0
2020-06-15	33	25	75.8	1	3.0	0	0.0
2020-05-19	33	27	81.8	1	3.0	0	0.0
2020-05-27	33	28	84.8	0	0.0	0	0
2020-07-05	39	26	66.7	0	0.0	0	0
2020-05-10	38	26	68.4	2	5.3	2	100.0
2020-07-18	38	31	81.6	0	0.0	0	0
2020-06-05	35	33	94.3	0	0.0	0	0
2020-06-23	0	0		0		0	0
2020-06-04	35	32	91.4	0	0.0	0	0
2020-06-26	39	23	59.0	0	0.0	0	0
2020-06-06	35	27	77.1	0	0.0	0	0
2020-05-03	37	30	81.1	5	13.5	5	100.0
2020-07-03	38	26	68.4	0	0.0	0	0
2020-06-09	35	25	71.4	0	0.0	0	0
2020-06-19	0	0		0		0	0
2020-06-01	33	18	54.5	0	0.0	0	0
2020-06-27	39	31	79.5	0	0.0	0	0
2020-07-01	39	22	56.4	0	0.0	0	0
2020-05-26	33	26	78.8	0	0.0	0	0
2020-05-13	33	30	90.9	2	6.1	1	50.0
2020-04-26	37	25	67.6	5	13.5	4	80.0
2020-05-01	37	27	73.0	5	13.5	4	80.0
2020-06-10	35	26	74.3	0	0.0	0	0
2020-07-11	38	27	71.1	0	0.0	0	0
2020-05-09	38	24	63.2	3	7.9	3	100.0
2020-05-15	33	21	63.6	0	0.0	0	0
