Date	betten_ges	betten_belegt	betten_belegt_proz	faelle_covid_aktuell	faelle_covid_aktuell_proz	faelle_covid_aktuell_beatmet	faelle_covid_aktuell_beatmet_proz
2020-06-05	53	47	88.7	1	1.9	1	100.0
2020-07-07	51	48	94.1	0	0.0	0	0
2020-04-30	66	56	84.8	13	19.7	10	76.9
2020-05-05	62	45	72.6	10	16.1	8	80.0
2020-07-02	51	45	88.2	0	0.0	0	0
2020-06-21	53	44	83.0	0	0.0	0	0
2020-06-26	51	46	90.2	0	0.0	0	0
2020-06-18	49	43	87.8	0	0.0	0	0
2020-05-21	62	49	79.0	6	9.7	5	83.3
2020-06-09	52	45	86.5	1	1.9	1	100.0
2020-05-13	62	46	74.2	4	6.5	4	100.0
2020-07-27	68	44	64.7	2	2.9	2	100.0
2020-07-16	51	40	78.4	1	2.0	1	100.0
2020-06-28	51	42	82.4	0	0.0	0	0
2020-07-22	63	47	74.6	1	1.6	1	100.0
2020-05-23	62	45	72.6	7	11.3	5	71.4
2020-05-25	66	45	68.2	5	7.6	4	80.0
2020-05-29	62	48	77.4	2	3.2	2	100.0
2020-07-03	52	49	94.2	0	0.0	0	0
2020-06-07	53	43	81.1	1	1.9	1	100.0
2020-06-11	52	44	84.6	1	1.9	1	100.0
2020-04-28	64	53	82.8	13	20.3	10	76.9
2020-07-18	50	38	76.0	1	2.0	1	100.0
2020-07-26	66	45	68.2	2	3.0	2	100.0
2020-05-24	62	47	75.8	5	8.1	2	40.0
2020-06-30	49	42	85.7	0	0.0	0	0
2020-06-25	52	46	88.5	0	0.0	0	0
2020-06-04	53	48	90.6	1	1.9	1	100.0
2020-07-11	50	47	94.0	2	4.0	1	50.0
2020-07-15	52	40	76.9	1	1.9	1	100.0
2020-04-27	64	47	73.4	19	29.7	14	73.7
2020-06-27	51	43	84.3	0	0.0	0	0
2020-07-14	52	44	84.6	1	1.9	1	100.0
2020-06-10	52	43	82.7	1	1.9	1	100.0
2020-06-16	53	43	81.1	0	0.0	0	0
2020-07-09	51	46	90.2	2	3.9	0	0.0
2020-06-13	53	42	79.2	1	1.9	1	100.0
2020-05-16	66	54	81.8	8	12.1	6	75.0
2020-05-20	61	47	77.0	7	11.5	5	71.4
2020-05-31	62	45	72.6	2	3.2	2	100.0
2020-06-17	53	46	86.8	0	0.0	0	0
2020-06-22	53	44	83.0	0	0.0	0	0
2020-07-21	53	42	79.2	1	1.9	1	100.0
2020-06-24	53	48	90.6	0	0.0	0	0
2020-06-02	62	50	80.6	2	3.2	2	100.0
2020-06-08	52	43	82.7	1	1.9	1	100.0
2020-07-24	66	59	89.4	2	3.0	2	100.0
2020-05-26	66	53	80.3	8	12.1	8	100.0
2020-04-26	64	48	75.0	15	23.4	11	73.3
2020-06-06	53	46	86.8	0	0.0	0	0
2020-05-18	62	51	82.3	7	11.3	5	71.4
2020-05-15	66	51	77.3	7	10.6	4	57.1
2020-05-11	60	47	78.3	7	11.7	5	71.4
2020-05-10	60	47	78.3	7	11.7	5	71.4
2020-05-02	66	60	90.9	10	15.2	5	50.0
2020-07-25	66	55	83.3	2	3.0	2	100.0
2020-06-12	49	39	79.6	1	2.0	1	100.0
2020-07-04	53	50	94.3	0	0.0	0	0
2020-05-04	62	49	79.0	8	12.9	5	62.5
2020-06-03	55	48	87.3	1	1.8	1	100.0
2020-07-01	49	39	79.6	0	0.0	0	0
2020-07-05	53	42	79.2	0	0.0	0	0
2020-06-23	53	44	83.0	0	0.0	0	0
2020-06-20	53	49	92.5	0	0.0	0	0
2020-05-06	65	49	75.4	7	10.8	5	71.4
2020-04-29	66	59	89.4	14	21.2	11	78.6
2020-07-23	64	54	84.4	1	1.6	1	100.0
2020-05-12	61	45	73.8	4	6.6	4	100.0
2020-07-10	50	46	92.0	2	4.0	1	50.0
2020-05-09	64	51	79.7	7	10.9	5	71.4
2020-07-13	52	37	71.2	2	3.8	1	50.0
2020-05-22	62	45	72.6	7	11.3	5	71.4
2020-07-17	51	41	80.4	1	2.0	1	100.0
2020-05-30	62	49	79.0	2	3.2	2	100.0
2020-05-27	62	52	83.9	3	4.8	2	66.7
2020-05-28	62	52	83.9	2	3.2	2	100.0
2020-05-17	62	52	83.9	7	11.3	5	71.4
2020-06-15	53	34	64.2	1	1.9	1	100.0
2020-05-08	64	53	82.8	9	14.1	7	77.8
2020-07-08	51	48	94.1	0	0.0	0	0
2020-06-14	53	35	66.0	1	1.9	1	100.0
2020-05-19	61	54	88.5	6	9.8	5	83.3
2020-07-20	53	42	79.2	1	1.9	1	100.0
2020-07-06	51	41	80.4	0	0.0	0	0
2020-05-07	64	47	73.4	8	12.5	6	75.0
2020-05-01	66	60	90.9	10	15.2	5	50.0
2020-07-19	53	37	69.8	1	1.9	1	100.0
2020-06-19	53	44	83.0	0	0.0	0	0
2020-05-14	66	56	84.8	4	6.1	4	100.0
2020-06-01	58	42	72.4	2	3.4	2	100.0
2020-05-03	62	49	79.0	10	16.1	10	100.0
2020-06-29	49	39	79.6	0	0.0	0	0
2020-07-12	53	42	79.2	2	3.8	1	50.0
