Date	betten_ges	betten_belegt	betten_belegt_proz	faelle_covid_aktuell	faelle_covid_aktuell_proz	faelle_covid_aktuell_beatmet	faelle_covid_aktuell_beatmet_proz
2020-07-10	22	13	59.1	0	0.0	0	0
2020-05-24	36	9	25.0	1	2.8	1	100.0
2020-07-12	16	12	75.0	0	0.0	0	0
2020-06-17	22	17	77.3	0	0.0	0	0
2020-06-28	22	12	54.5	0	0.0	0	0
2020-06-18	22	18	81.8	0	0.0	0	0
2020-05-30	24	12	50.0	0	0.0	0	0
2020-04-27	36	15	41.7	3	8.3	2	66.7
2020-06-13	23	13	56.5	0	0.0	0	0
2020-06-11	23	13	56.5	0	0.0	0	0
2020-07-04	22	11	50.0	0	0.0	0	0
2020-07-13	21	13	61.9	0	0.0	0	0
2020-05-25	37	10	27.0	1	2.7	1	100.0
2020-06-22	22	14	63.6	0	0.0	0	0
2020-06-14	24	14	58.3	0	0.0	0	0
2020-05-11	36	12	33.3	1	2.8	1	100.0
2020-05-21	36	12	33.3	1	2.8	1	100.0
2020-07-08	22	13	59.1	0	0.0	0	0
2020-06-07	23	12	52.2	0	0.0	0	0
2020-06-03	24	13	54.2	0	0.0	0	0
2020-06-02	23	14	60.9	0	0.0	0	0
2020-06-25	22	12	54.5	0	0.0	0	0
2020-05-06	36	8	22.2	2	5.6	2	100.0
2020-06-24	22	12	54.5	0	0.0	0	0
2020-07-09	22	15	68.2	0	0.0	0	0
2020-07-07	22	15	68.2	0	0.0	0	0
2020-05-22	36	6	16.7	1	2.8	1	100.0
2020-04-30	36	14	38.9	2	5.6	2	100.0
2020-05-14	36	15	41.7	1	2.8	1	100.0
2020-05-29	24	11	45.8	0	0.0	0	0
2020-05-12	36	15	41.7	1	2.8	1	100.0
2020-05-07	37	9	24.3	2	5.4	2	100.0
2020-05-16	36	16	44.4	1	2.8	1	100.0
2020-05-31	24	13	54.2	0	0.0	0	0
2020-05-08	36	11	30.6	2	5.6	1	50.0
2020-06-08	23	12	52.2	0	0.0	0	0
2020-05-23	36	8	22.2	1	2.8	1	100.0
2020-05-28	38	12	31.6	0	0.0	0	0
2020-07-06	22	13	59.1	0	0.0	0	0
2020-06-20	22	13	59.1	0	0.0	0	0
2020-06-29	22	12	54.5	0	0.0	0	0
2020-06-12	23	13	56.5	0	0.0	0	0
2020-04-28	36	12	33.3	3	8.3	2	66.7
2020-07-02	22	10	45.5	0	0.0	0	0
2020-06-21	22	14	63.6	0	0.0	0	0
2020-04-29	36	12	33.3	3	8.3	2	66.7
2020-06-30	22	15	68.2	0	0.0	0	0
2020-05-04	36	12	33.3	2	5.6	2	100.0
2020-05-17	36	12	33.3	1	2.8	1	100.0
2020-05-05	36	12	33.3	2	5.6	2	100.0
2020-05-18	36	14	38.9	1	2.8	1	100.0
2020-05-02	36	10	27.8	2	5.6	2	100.0
2020-06-16	22	14	63.6	0	0.0	0	0
2020-05-20	36	11	30.6	1	2.8	1	100.0
2020-06-15	24	15	62.5	0	0.0	0	0
2020-05-19	36	13	36.1	1	2.8	1	100.0
2020-05-27	38	9	23.7	0	0.0	0	0
2020-07-05	22	11	50.0	0	0.0	0	0
2020-05-10	36	15	41.7	1	2.8	1	100.0
2020-06-05	23	15	65.2	0	0.0	0	0
2020-06-23	22	12	54.5	0	0.0	0	0
2020-06-04	23	15	65.2	0	0.0	0	0
2020-06-26	22	13	59.1	0	0.0	0	0
2020-06-06	23	17	73.9	0	0.0	0	0
2020-05-03	36	8	22.2	2	5.6	2	100.0
2020-07-03	23	12	52.2	0	0.0	0	0
2020-06-09	23	14	60.9	0	0.0	0	0
2020-06-19	22	15	68.2	0	0.0	0	0
2020-06-01	23	14	60.9	0	0.0	0	0
2020-06-27	22	16	72.7	0	0.0	0	0
2020-07-01	22	13	59.1	0	0.0	0	0
2020-05-26	38	8	21.1	1	2.6	1	100.0
2020-05-13	36	16	44.4	1	2.8	1	100.0
2020-04-26	36	15	41.7	3	8.3	2	66.7
2020-05-01	36	10	27.8	2	5.6	2	100.0
2020-06-10	23	12	52.2	0	0.0	0	0
2020-07-11	22	17	77.3	0	0.0	0	0
2020-05-09	36	15	41.7	1	2.8	1	100.0
2020-05-15	36	16	44.4	1	2.8	1	100.0
