Date	betten_ges	betten_belegt	betten_belegt_proz	faelle_covid_aktuell	faelle_covid_aktuell_proz	faelle_covid_aktuell_beatmet	faelle_covid_aktuell_beatmet_proz
2020-06-22	81	41	50.6	0	0.0	0	0
2020-07-03	82	41	50.0	0	0.0	0	0
2020-05-03	80	47	58.8	3	3.8	3	100.0
2020-06-18	82	45	54.9	0	0.0	0	0
2020-05-07	82	47	57.3	2	2.4	2	100.0
2020-05-05	81	40	49.4	2	2.5	2	100.0
2020-06-30	84	38	45.2	0	0.0	0	0
2020-06-25	82	41	50.0	0	0.0	0	0
2020-05-31	80	41	51.2	3	3.8	1	33.3
2020-05-06	82	47	57.3	2	2.4	2	100.0
2020-07-18	85	55	64.7	0	0.0	0	0
2020-07-06	84	38	45.2	0	0.0	0	0
2020-05-20	84	50	59.5	2	2.4	1	50.0
2020-06-04	78	49	62.8	1	1.3	1	100.0
2020-07-20	81	52	64.2	0	0.0	0	0
2020-07-13	82	48	58.5	0	0.0	0	0
2020-05-22	84	47	56.0	2	2.4	1	50.0
2020-07-05	82	32	39.0	0	0.0	0	0
2020-07-16	82	51	62.2	1	1.2	0	0.0
2020-05-15	78	56	71.8	4	5.1	3	75.0
2020-05-29	84	57	67.9	2	2.4	1	50.0
2020-07-29	82	44	53.7	0	0.0	0	0
2020-05-28	82	50	61.0	2	2.4	1	50.0
2020-06-21	82	55	67.1	0	0.0	0	0
2020-05-17	77	49	63.6	3	3.9	3	100.0
2020-07-08	85	46	54.1	0	0.0	0	0
2020-06-16	81	41	50.6	0	0.0	0	0
2020-06-02	82	47	57.3	3	3.7	2	66.7
2020-06-29	84	40	47.6	0	0.0	0	0
2020-07-04	81	43	53.1	0	0.0	0	0
2020-06-03	79	51	64.6	2	2.5	1	50.0
2020-06-19	82	47	57.3	0	0.0	0	0
2020-07-14	83	50	60.2	0	0.0	0	0
2020-07-26	82	41	50.0	0	0.0	0	0
2020-07-07	82	42	51.2	0	0.0	0	0
2020-04-27	84	44	52.4	9	10.7	4	44.4
2020-05-08	81	49	60.5	2	2.5	2	100.0
2020-07-12	82	46	56.1	0	0.0	0	0
2020-05-25	82	42	51.2	2	2.4	1	50.0
2020-06-14	82	38	46.3	1	1.2	0	0.0
2020-05-21	84	38	45.2	2	2.4	1	50.0
2020-06-26	84	32	38.1	0	0.0	0	0
2020-07-22	81	43	53.1	0	0.0	0	0
2020-05-23	82	44	53.7	2	2.4	1	50.0
2020-05-13	82	49	59.8	4	4.9	3	75.0
2020-06-10	82	46	56.1	1	1.2	1	100.0
2020-07-25	82	40	48.8	0	0.0	0	0
2020-04-30	82	47	57.3	6	7.3	4	66.7
2020-06-07	81	44	54.3	1	1.2	1	100.0
2020-05-01	82	50	61.0	4	4.9	3	75.0
2020-07-30	83	38	45.8	0	0.0	0	0
2020-07-11	83	48	57.8	0	0.0	0	0
2020-06-17	82	45	54.9	0	0.0	0	0
2020-08-01	82	41	50.0	0	0.0	0	0
2020-07-01	83	40	48.2	0	0.0	0	0
2020-06-09	82	46	56.1	1	1.2	1	100.0
2020-06-08	79	36	45.6	1	1.3	1	100.0
2020-06-28	84	39	46.4	0	0.0	0	0
2020-07-21	81	53	65.4	0	0.0	0	0
2020-05-26	82	45	54.9	2	2.4	1	50.0
2020-07-19	85	54	63.5	0	0.0	0	0
2020-05-12	80	45	56.2	4	5.0	3	75.0
2020-04-29	82	47	57.3	9	11.0	4	44.4
2020-07-31	83	42	50.6	0	0.0	0	0
2020-05-04	82	52	63.4	4	4.9	3	75.0
2020-05-19	81	43	53.1	2	2.5	1	50.0
2020-07-28	82	50	61.0	0	0.0	0	0
2020-04-28	84	45	53.6	9	10.7	4	44.4
2020-05-10	81	47	58.0	3	3.7	3	100.0
2020-07-15	84	53	63.1	1	1.2	0	0.0
2020-06-12	82	45	54.9	1	1.2	0	0.0
2020-05-27	82	38	46.3	2	2.4	1	50.0
2020-07-24	82	43	52.4	0	0.0	0	0
2020-06-23	81	44	54.3	0	0.0	0	0
2020-05-09	81	47	58.0	2	2.5	2	100.0
2020-06-24	82	39	47.6	0	0.0	0	0
2020-06-20	82	53	64.6	0	0.0	0	0
2020-07-02	84	40	47.6	0	0.0	0	0
2020-05-30	81	55	67.9	2	2.5	1	50.0
2020-07-09	82	53	64.6	0	0.0	0	0
2020-05-11	85	50	58.8	4	4.7	4	100.0
2020-05-18	79	40	50.6	3	3.8	2	66.7
2020-04-26	84	45	53.6	10	11.9	6	60.0
2020-06-11	82	44	53.7	1	1.2	1	100.0
2020-06-06	82	40	48.8	1	1.2	1	100.0
2020-07-17	85	54	63.5	0	0.0	0	0
2020-06-01	82	49	59.8	3	3.7	2	66.7
2020-07-10	80	47	58.8	0	0.0	0	0
2020-08-03	81	43	53.1	0	0.0	0	0
2020-06-05	82	55	67.1	1	1.2	1	100.0
2020-06-13	85	45	52.9	1	1.2	0	0.0
2020-05-14	82	50	61.0	4	4.9	3	75.0
2020-05-16	80	53	66.2	3	3.8	3	100.0
2020-08-02	84	43	51.2	0	0.0	0	0
2020-07-27	82	45	54.9	0	0.0	0	0
2020-06-15	80	39	48.8	1	1.2	0	0.0
2020-06-27	84	38	45.2	0	0.0	0	0
2020-05-24	82	44	53.7	2	2.4	1	50.0
2020-05-02	82	49	59.8	3	3.7	3	100.0
2020-07-23	82	42	51.2	0	0.0	0	0
