Date	betten_ges	betten_belegt	betten_belegt_proz	faelle_covid_aktuell	faelle_covid_aktuell_proz	faelle_covid_aktuell_beatmet	faelle_covid_aktuell_beatmet_proz
2020-06-05	61	29	47.5	0	0.0	0	0
2020-07-07	55	28	50.9	0	0.0	0	0
2020-04-30	60	39	65.0	7	11.7	6	85.7
2020-05-05	53	36	67.9	6	11.3	6	100.0
2020-07-02	55	36	65.5	0	0.0	0	0
2020-06-21	61	39	63.9	0	0.0	0	0
2020-06-26	61	43	70.5	0	0.0	0	0
2020-06-18	61	36	59.0	1	1.6	0	0.0
2020-05-21	49	25	51.0	1	2.0	1	100.0
2020-06-09	61	37	60.7	0	0.0	0	0
2020-05-13	60	29	48.3	4	6.7	2	50.0
2020-07-16	55	38	69.1	0	0.0	0	0
2020-06-28	50	36	72.0	0	0.0	0	0
2020-07-22	61	29	47.5	0	0.0	0	0
2020-05-23	61	31	50.8	1	1.6	1	100.0
2020-05-25	49	20	40.8	0	0.0	0	0
2020-05-29	61	28	45.9	1	1.6	0	0.0
2020-07-03	54	30	55.6	0	0.0	0	0
2020-06-07	61	33	54.1	0	0.0	0	0
2020-06-11	62	32	51.6	0	0.0	0	0
2020-04-28	60	34	56.7	6	10.0	5	83.3
2020-07-18	56	33	58.9	0	0.0	0	0
2020-05-24	61	23	37.7	0	0.0	0	0
2020-06-30	56	36	64.3	0	0.0	0	0
2020-06-25	59	43	72.9	0	0.0	0	0
2020-06-04	61	28	45.9	0	0.0	0	0
2020-07-11	54	34	63.0	0	0.0	0	0
2020-07-15	55	38	69.1	0	0.0	0	0
2020-04-27	59	38	64.4	6	10.2	5	83.3
2020-06-27	54	41	75.9	0	0.0	0	0
2020-07-14	56	36	64.3	0	0.0	0	0
2020-06-10	61	33	54.1	0	0.0	0	0
2020-06-16	60	37	61.7	1	1.7	0	0.0
2020-07-09	55	33	60.0	1	1.8	1	100.0
2020-06-13	59	30	50.8	1	1.7	0	0.0
2020-05-16	61	35	57.4	1	1.6	1	100.0
2020-05-20	61	30	49.2	2	3.3	1	50.0
2020-05-31	61	39	63.9	0	0.0	0	0
2020-06-17	61	36	59.0	1	1.6	0	0.0
2020-06-22	61	41	67.2	0	0.0	0	0
2020-07-21	55	30	54.5	0	0.0	0	0
2020-06-24	53	31	58.5	0	0.0	0	0
2020-06-02	64	24	37.5	0	0.0	0	0
2020-06-08	59	38	64.4	0	0.0	0	0
2020-05-26	61	29	47.5	1	1.6	0	0.0
2020-04-26	70	42	60.0	5	7.1	5	100.0
2020-06-06	61	33	54.1	0	0.0	0	0
2020-05-18	61	35	57.4	1	1.6	1	100.0
2020-05-15	61	26	42.6	1	1.6	1	100.0
2020-05-11	60	39	65.0	6	10.0	2	33.3
2020-05-10	60	43	71.7	4	6.7	3	75.0
2020-05-02	57	38	66.7	6	10.5	6	100.0
2020-06-12	61	32	52.5	0	0.0	0	0
2020-07-04	55	34	61.8	0	0.0	0	0
2020-05-04	61	38	62.3	6	9.8	6	100.0
2020-06-03	62	28	45.2	0	0.0	0	0
2020-07-01	56	36	64.3	0	0.0	0	0
2020-07-05	55	33	60.0	0	0.0	0	0
2020-06-23	53	33	62.3	0	0.0	0	0
2020-06-20	61	36	59.0	0	0.0	0	0
2020-05-06	53	40	75.5	5	9.4	5	100.0
2020-04-29	60	37	61.7	5	8.3	5	100.0
2020-07-23	61	27	44.3	0	0.0	0	0
2020-05-12	60	36	60.0	7	11.7	3	42.9
2020-07-10	57	33	57.9	1	1.8	1	100.0
2020-05-09	60	43	71.7	4	6.7	3	75.0
2020-07-13	56	35	62.5	0	0.0	0	0
2020-05-22	61	29	47.5	1	1.6	1	100.0
2020-07-17	55	36	65.5	0	0.0	0	0
2020-05-30	29	21	72.4	0	0.0	0	0
2020-05-27	61	30	49.2	1	1.6	0	0.0
2020-05-28	61	28	45.9	1	1.6	0	0.0
2020-05-17	61	35	57.4	1	1.6	1	100.0
2020-06-15	59	32	54.2	1	1.7	0	0.0
2020-05-08	60	45	75.0	3	5.0	3	100.0
2020-07-08	54	27	50.0	0	0.0	0	0
2020-06-14	59	34	57.6	1	1.7	0	0.0
2020-05-19	61	34	55.7	2	3.3	1	50.0
2020-07-20	55	30	54.5	0	0.0	0	0
2020-07-06	55	28	50.9	0	0.0	0	0
2020-05-07	59	38	64.4	4	6.8	3	75.0
2020-05-01	61	39	63.9	8	13.1	6	75.0
2020-07-19	55	31	56.4	0	0.0	0	0
2020-06-19	61	39	63.9	0	0.0	0	0
2020-05-14	61	29	47.5	3	4.9	2	66.7
2020-06-01	62	23	37.1	0	0.0	0	0
2020-05-03	57	37	64.9	6	10.5	6	100.0
2020-06-29	56	30	53.6	0	0.0	0	0
2020-07-12	55	38	69.1	0	0.0	0	0
