# Day	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2_Deaths
-9	2020-04-03	10062	174	86	5	194.589	3.365	1.663	0.097	65.6	22.4	1.009	1.03	42
-8	2020-04-04	10156	177	94	3	196.406	3.423	1.818	0.058	69.9	25.3	1.009	1.017	43
-7	2020-04-05	10237	183	81	6	197.973	3.539	1.566	0.116	72.5	27.7	1.008	1.034	44
-6	2020-04-06	10284	186	47	3	198.882	3.597	0.909	0.058	77.7	29.2	1.005	1.016	45
-5	2020-04-07	10331	192	47	6	199.791	3.713	0.909	0.116	88.1	28.4	1.005	1.032	46
-4	2020-04-08	10384	200	53	8	200.816	3.868	1.025	0.155	98.8	26.1	1.005	1.042	47
-3	2020-04-09	10423	204	39	4	201.57	3.945	0.754	0.077	112.4	25.5	1.004	1.02	48
-2	2020-04-10	10450	208	27	4	202.092	4.023	0.522	0.077	132.2	25.8	1.003	1.02	49
-1	2020-04-11	10480	211	30	3	202.672	4.081	0.58	0.058	158.6	26.8	1.003	1.014	50
0	2020-04-12	10512	214	32	3	203.291	4.139	0.619	0.058	183.4	29.7	1.003	1.014	51
