# Day	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2_Deaths
-15	2020-03-28	73235	5982	7516	844	1567.093	128.004	160.828	18.06	4.5	3.5	1.114	1.164	24
-14	2020-03-29	80110	6803	6875	821	1714.205	145.572	147.112	17.568	5.0	3.9	1.094	1.137	25
-13	2020-03-30	87956	7716	7846	913	1882.095	165.108	167.89	19.537	5.6	4.3	1.098	1.134	26
-12	2020-03-31	95923	8464	7967	748	2052.574	181.114	170.479	16.006	6.2	4.9	1.091	1.097	27
-11	2020-04-01	104118	9387	8195	923	2227.931	200.864	175.358	19.75	7.0	5.5	1.085	1.109	28
-10	2020-04-02	112065	10348	7947	961	2397.982	221.428	170.051	20.564	7.6	6.0	1.076	1.102	29
-9	2020-04-03	119199	11198	7134	850	2550.637	239.616	152.654	18.188	8.3	6.6	1.064	1.082	30
-8	2020-04-04	126168	11947	6969	749	2699.76	255.644	149.124	16.027	9.1	7.3	1.058	1.067	31
-7	2020-04-05	131646	12641	5478	694	2816.979	270.494	117.219	14.85	10.0	8.1	1.043	1.058	32
-6	2020-04-06	136675	13341	5029	700	2924.591	285.473	107.611	14.979	11.4	9.1	1.038	1.055	33
-5	2020-04-07	141942	14045	5267	704	3037.295	300.537	112.704	15.064	13.0	10.1	1.039	1.053	34
-4	2020-04-08	148220	14792	6278	747	3171.632	316.521	134.338	15.984	14.5	11.3	1.044	1.053	35
-3	2020-04-09	153222	15447	5002	655	3278.666	330.537	107.033	14.016	16.1	12.5	1.034	1.044	36
-2	2020-04-10	158273	16081	5051	634	3386.748	344.103	108.082	13.566	17.6	13.6	1.033	1.041	37
-1	2020-04-11	163027	16606	4754	525	3488.474	355.337	101.727	11.234	18.9	14.8	1.03	1.033	38
0	2020-04-12	166831	17209	3804	603	3569.873	368.241	81.399	12.903	20.3	16.0	1.023	1.036	39
