# Day	Date	Confirmed	Deaths	Confirmed per Million	Deaths per Million	Confirmed Change	Deaths Change	Deaths Change Factor	Days since 2 Deaths
-63	2020-01-22	0	0	0.000	0.000				
-62	2020-01-23	0	0	0.000	0.000				
-61	2020-01-24	0	0	0.000	0.000				
-60	2020-01-25	0	0	0.000	0.000				
-59	2020-01-26	0	0	0.000	0.000				
-58	2020-01-27	0	0	0.000	0.000				
-57	2020-01-28	0	0	0.000	0.000				
-56	2020-01-29	0	0	0.000	0.000				
-55	2020-01-30	0	0	0.000	0.000				
-54	2020-01-31	0	0	0.000	0.000				
-53	2020-02-01	0	0	0.000	0.000				
-52	2020-02-02	0	0	0.000	0.000				
-51	2020-02-03	0	0	0.000	0.000				
-50	2020-02-04	0	0	0.000	0.000				
-49	2020-02-05	0	0	0.000	0.000				
-48	2020-02-06	0	0	0.000	0.000				
-47	2020-02-07	0	0	0.000	0.000				
-46	2020-02-08	0	0	0.000	0.000				
-45	2020-02-09	0	0	0.000	0.000				
-44	2020-02-10	0	0	0.000	0.000				
-43	2020-02-11	0	0	0.000	0.000				
-42	2020-02-12	0	0	0.000	0.000				
-41	2020-02-13	0	0	0.000	0.000				
-40	2020-02-14	0	0	0.000	0.000				
-39	2020-02-15	0	0	0.000	0.000				
-38	2020-02-16	0	0	0.000	0.000				
-37	2020-02-17	0	0	0.000	0.000				
-36	2020-02-18	0	0	0.000	0.000				
-35	2020-02-19	2	2	0.024	0.024				0
-34	2020-02-20	5	2	0.060	0.024	3	0	1.000	1
-33	2020-02-21	18	4	0.216	0.048	13	2	2.000	2
-32	2020-02-22	28	5	0.337	0.060	10	1	1.250	3
-31	2020-02-23	43	8	0.517	0.096	15	3	1.600	4
-30	2020-02-24	61	12	0.733	0.144	18	4	1.500	5
-29	2020-02-25	95	16	1.142	0.192	34	4	1.333	6
-28	2020-02-26	139	19	1.671	0.228	44	3	1.188	7
-27	2020-02-27	245	26	2.945	0.313	106	7	1.368	8
-26	2020-02-28	388	34	4.664	0.409	143	8	1.308	9
-25	2020-02-29	593	43	7.129	0.517	205	9	1.265	10
-24	2020-03-01	978	54	11.757	0.649	385	11	1.256	11
-23	2020-03-02	1501	66	18.044	0.793	523	12	1.222	12
-22	2020-03-03	2336	77	28.082	0.926	835	11	1.167	13
-21	2020-03-04	2922	92	35.127	1.106	586	15	1.195	14
-20	2020-03-05	3513	107	42.232	1.286	591	15	1.163	15
-19	2020-03-06	4747	124	57.066	1.491	1234	17	1.159	16
-18	2020-03-07	5823	145	70.002	1.743	1076	21	1.169	17
-17	2020-03-08	6566	194	78.934	2.332	743	49	1.338	18
-16	2020-03-09	7161	237	86.087	2.849	595	43	1.222	19
-15	2020-03-10	8042	291	96.678	3.498	881	54	1.228	20
-14	2020-03-11	9000	354	108.194	4.256	958	63	1.216	21
-13	2020-03-12	10075	429	121.117	5.157	1075	75	1.212	22
-12	2020-03-13	11364	514	136.613	6.179	1289	85	1.198	23
-11	2020-03-14	12729	611	153.023	7.345	1365	97	1.189	24
-10	2020-03-15	13938	724	167.557	8.704	1209	113	1.185	25
-9	2020-03-16	14991	853	180.216	10.254	1053	129	1.178	26
-8	2020-03-17	16169	988	194.377	11.877	1178	135	1.158	27
-7	2020-03-18	17361	1135	208.707	13.644	1192	147	1.149	28
-6	2020-03-19	18407	1284	221.281	15.436	1046	149	1.131	29
-5	2020-03-20	19644	1433	236.152	17.227	1237	149	1.116	30
-4	2020-03-21	20610	1556	247.765	18.706	966	123	1.086	31
-3	2020-03-22	21638	1685	260.123	20.256	1028	129	1.083	32
-2	2020-03-23	23049	1812	277.085	21.783	1411	127	1.075	33
-1	2020-03-24	24811	1934	298.267	23.250	1762	122	1.067	34
0	2020-03-25	27017	2077	324.787	24.969	2206	143	1.074	35
