# date	infections	deaths	new infections	new deaths
2020-03-04	7	0		
2020-03-05	8	0	1	0
2020-03-06	10	0	2	0
2020-03-07	13	0	3	0
2020-03-08	19	0	6	0
2020-03-09	17	0	-2	0
2020-03-10	25	0	8	0
2020-03-11	25	0	0	0
2020-03-12	52	0	27	0
2020-03-13	102	0	50	0
2020-03-14	121	0	19	0
2020-03-15	168	0	47	0
2020-03-16	325	0	157	0
2020-03-17	442	0	117	0
2020-03-18	474	0	32	0
2020-03-19	637	0	163	0
2020-03-20	801	1	164	1
2020-03-21	938	1	137	0
2020-03-22	1053	2	115	1
