# Day	Date	Confirmed	Deaths	Confirmed per Million	Deaths per Million	Confirmed Change	Deaths Change	Deaths Change Factor	Days since 2 Deaths	Deaths Doublication Time	New Confirmed per Million	New Deaths per Million
-69	2020-01-22	0	0	0.0	0.0							
-68	2020-01-23	0	0	0.0	0.0							
-67	2020-01-24	0	0	0.0	0.0							
-66	2020-01-25	0	0	0.0	0.0							
-65	2020-01-26	0	0	0.0	0.0							
-64	2020-01-27	0	0	0.0	0.0							
-63	2020-01-28	0	0	0.0	0.0							
-62	2020-01-29	0	0	0.0	0.0							
-61	2020-01-30	0	0	0.0	0.0							
-60	2020-01-31	1	0	0.097	0.0							
-59	2020-02-01	1	0	0.097	0.0							
-58	2020-02-02	1	0	0.097	0.0							
-57	2020-02-03	1	0	0.097	0.0							
-56	2020-02-04	1	0	0.097	0.0							
-55	2020-02-05	1	0	0.097	0.0							
-54	2020-02-06	1	0	0.097	0.0							
-53	2020-02-07	1	0	0.097	0.0							
-52	2020-02-08	1	0	0.097	0.0							
-51	2020-02-09	1	0	0.097	0.0							
-50	2020-02-10	1	0	0.097	0.0							
-49	2020-02-11	1	0	0.097	0.0							
-48	2020-02-12	1	0	0.097	0.0							
-47	2020-02-13	1	0	0.097	0.0							
-46	2020-02-14	1	0	0.097	0.0							
-45	2020-02-15	1	0	0.097	0.0							
-44	2020-02-16	1	0	0.097	0.0							
-43	2020-02-17	1	0	0.097	0.0							
-42	2020-02-18	1	0	0.097	0.0							
-41	2020-02-19	1	0	0.097	0.0							
-40	2020-02-20	1	0	0.097	0.0							
-39	2020-02-21	1	0	0.097	0.0							
-38	2020-02-22	1	0	0.097	0.0							
-37	2020-02-23	1	0	0.097	0.0							
-36	2020-02-24	1	0	0.097	0.0							
-35	2020-02-25	1	0	0.097	0.0							
-34	2020-02-26	2	0	0.194	0.0							
-33	2020-02-27	7	0	0.677	0.0							
-32	2020-02-28	7	0	0.677	0.0							
-31	2020-02-29	12	0	1.161	0.0							
-30	2020-03-01	14	0	1.355	0.0	2					0.194	
-29	2020-03-02	15	0	1.452	0.0	1					0.097	
-28	2020-03-03	21	0	2.032	0.0	6					0.581	
-27	2020-03-04	35	0	3.387	0.0	14				5.0	1.355	
-26	2020-03-05	94	0	9.097	0.0	59				5.0	5.71	
-25	2020-03-06	101	0	9.774	0.0	7				5.0	0.677	
-24	2020-03-07	161	0	15.58	0.0	60				5.0	5.806	
-23	2020-03-08	203	0	19.645	0.0	42				5.0	4.064	
-22	2020-03-09	248	0	24.0	0.0	45				5.0	4.355	
-21	2020-03-10	355	0	34.354	0.0	107				5.0	10.355	
-20	2020-03-11	500	1	48.387	0.097	145					14.032	
-19	2020-03-12	599	1	57.967	0.097	99	0	1.0		1.0	9.581	0.0
-18	2020-03-13	814	1	78.773	0.097	215	0	1.0		1.6	20.806	0.0
-17	2020-03-14	961	2	92.999	0.194	147	1	2.0	0	1.5	14.226	0.097
-16	2020-03-15	1022	3	98.902	0.29	61	1	1.5	1	1.6	5.903	0.097
-15	2020-03-16	1103	6	106.741	0.581	81	3	2.0	2	1.3	7.839	0.29
-14	2020-03-17	1190	7	115.16	0.677	87	1	1.167	3	1.7	8.419	0.097
-13	2020-03-18	1279	10	123.773	0.968	89	3	1.429	4	1.9	8.613	0.29
-12	2020-03-19	1439	11	139.256	1.065	160	1	1.1	5	2.3	15.484	0.097
-11	2020-03-20	1639	16	158.611	1.548	200	5	1.455	6	2.3	19.355	0.484
-10	2020-03-21	1763	20	170.611	1.935	124	4	1.25	7	2.5	12.0	0.387
-9	2020-03-22	1934	21	187.159	2.032	171	1	1.05	8	3.1	16.548	0.097
-8	2020-03-23	2046	25	197.998	2.419	112	4	1.19	9	3.6	10.839	0.387
-7	2020-03-24	2286	36	221.223	3.484	240	11	1.44	10	3.2	23.226	1.065
-6	2020-03-25	2526	62	244.449	6.0	240	26	1.722	11	2.3	23.226	2.516
-5	2020-03-26	2840	77	274.835	7.452	314	15	1.242	12	2.2	30.387	1.452
-4	2020-03-27	3069	105	296.996	10.161	229	28	1.364	13	2.2	22.161	2.71
-3	2020-03-28	3447	105	333.577	10.161	378	0	1.0	14	2.8	36.58	0.0
-2	2020-03-29	3700	110	358.06	10.645	253	5	1.048	15	3.5	24.484	0.484
-1	2020-03-30	4028	146	389.802	14.129	328	36	1.327	16	3.7	31.742	3.484
0	2020-03-31	4435	180	429.188	17.419	407	34	1.233	17	3.9	39.387	3.29
